task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,1.9953558444976807,2.019,25.218,23.223,
3,empty,storage_empty_slot_2,carding_waiting_2,1,1.9962248802185059,2.066,29.866,27.869,
5,empty,storage_empty_slot_0,carding_waiting_0,0,25.29681658744812,25.421,38.218,12.921,
6,empty,storage_empty_slot_2,carding_waiting_2,1,29.99748659133911,30.067,42.766,12.768,
9,empty,storage_empty_slot_0,carding_waiting_0,0,38.29479098320007,38.319,51.118,12.824,
10,empty,storage_empty_slot_2,carding_waiting_2,1,42.794872522354126,42.866,55.467,12.672,
11,empty,storage_empty_slot_1,carding_waiting_1,0,49.99841642379761,51.219,65.918,15.92,
12,empty,storage_empty_slot_3,carding_waiting_3,1,53.99597191810608,55.666,70.366,16.37,
13,empty,storage_empty_slot_0,carding_waiting_1,0,65.99662041664124,66.019,81.818,15.821,
16,green,carding_finished_2,drawing_waiting_1,1,81.09565353393555,81.167,93.966,12.87,
17,empty,storage_empty_slot_0,carding_waiting_1,0,81.99571108818054,82.019,98.318,16.322,
19,green,carding_finished_2,drawing_waiting_1,1,93.99663782119751,94.066,107.565,13.569,
18,empty,storage_empty_slot_2,carding_waiting_2,0,97.99769258499146,98.419,112.518,14.52,
