task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.290396213531494,2.314,25.909,23.619,
2,empty,storage_empty_slot_1,carding_waiting_1,1,2.291043281555176,2.299,27.696,25.405,
5,empty,storage_empty_slot_0,carding_waiting_0,0,25.983925342559814,26.015,38.809,12.825,
6,empty,storage_empty_slot_1,carding_waiting_1,1,27.78366780281067,27.895,40.694,12.91,
9,empty,storage_empty_slot_0,carding_waiting_0,0,38.883400201797485,39.009,51.909,13.025,
10,empty,storage_empty_slot_1,carding_waiting_1,1,40.78689885139465,40.897,53.6,12.813,
11,empty,storage_empty_slot_2,carding_waiting_2,0,50.28552770614624,52.009,70.108,19.823,
12,empty,storage_empty_slot_3,carding_waiting_3,1,52.28471779823303,53.694,71.795,19.51,
16,green,carding_finished_2,drawing_waiting_1,0,78.88467621803284,78.909,91.909,13.024,
14,empty,storage_empty_slot_1,carding_waiting_3,1,71.8835678100586,71.896,93.697,21.813,
17,green,carding_finished_3,drawing_waiting_1,0,91.98545980453491,92.009,104.71,12.724,
18,empty,storage_empty_slot_1,carding_waiting_3,1,93.78339266777039,93.897,116.4,22.617,
20,green,carding_finished_3,drawing_waiting_1,0,104.7841796875,104.809,118.41,13.626,
