task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,1.6240386962890625,1.648,24.847,23.223,
3,empty,storage_empty_slot_2,carding_waiting_2,1,1.6246588230133057,1.652,29.252,27.627,
5,empty,storage_empty_slot_0,carding_waiting_0,0,24.92382001876831,24.947,38.047,13.123,
6,empty,storage_empty_slot_2,carding_waiting_2,1,29.323777675628662,29.354,42.252,12.928,
9,empty,storage_empty_slot_0,carding_waiting_0,0,38.123573303222656,38.148,51.147,13.024,
10,empty,storage_empty_slot_2,carding_waiting_2,1,42.32406687736511,42.352,54.953,12.628,
11,empty,storage_empty_slot_1,carding_waiting_1,0,49.62531495094299,51.248,65.947,16.322,
12,empty,storage_empty_slot_3,carding_waiting_3,1,53.62392783164978,55.152,69.852,16.228,
13,empty,storage_empty_slot_0,carding_waiting_1,0,66.02363276481628,66.148,81.847,15.824,
16,green,carding_finished_2,drawing_waiting_1,1,80.52714896202087,80.652,90.652,10.125,
17,empty,storage_empty_slot_0,carding_waiting_1,0,81.92333698272705,81.947,98.447,16.524,
19,green,carding_finished_2,drawing_waiting_1,1,90.72414493560791,90.752,104.452,13.728,
18,empty,storage_empty_slot_2,carding_waiting_2,0,97.62687563896179,98.548,112.747,15.12,
21,green,carding_finished_2,drawing_waiting_1,1,104.5248486995697,104.553,118.052,13.527,
