run_label,policy,num_robots,wall_s,makespan_s,completed,throughput_per_min,latency_mean_s,latency_p50_s,latency_p95_s,utilisation_mean,distance_total_m,traffic_rejected,traffic_expired,min_robot_distance_m,near_miss_events,charging_events,reassignments,min_robot_gap_m,overlap_events,dup_target_ticks,dup_target_events
ca_ssi_s1,ca_ssi,2,119.0,116.404,14,7.061,15.711,14.424,23.223,0.972,117.33,0,0,1.218,0,0,5,0.515,0,0,0
ca_ssi_s2,ca_ssi,2,119.3,110.899,13,6.538,15.986,14.912,23.212,0.97,116.31,0,0,1.272,0,0,5,0.569,0,0,0
ca_nocong_s1,ca_nocong,2,119.2,110.499,13,6.543,15.975,14.52,23.223,0.97,116.33,0,0,1.211,0,0,5,0.514,0,0,0
ca_nocong_s2,ca_nocong,2,118.3,104.709,11,5.578,16.315,13.636,24.29,0.981,116.64,0,0,1.35,0,0,5,0.672,0,0,0
ca_noener_s1,ca_noener,2,119.4,116.105,13,6.532,17.731,16.417,25.029,0.974,124.68,0,0,1.202,0,0,4,0.661,0,0,0
ca_noener_s2,ca_noener,2,118.8,116.111,13,6.567,17.21,13.626,23.619,0.968,121.17,0,0,1.035,0,0,5,0.346,0,0,0
ca_nobal_s1,ca_nobal,2,118.7,87.502,11,5.56,14.39,13.67,16.357,0.985,117.51,0,0,1.285,0,0,5,0.583,0,0,0
ca_nobal_s2,ca_nobal,2,118.6,114.199,12,6.071,17.588,16.441,24.043,0.969,120.41,0,0,1.048,0,0,5,0.371,0,0,0
ca_noage_s1,ca_noage,2,118.3,89.176,12,6.084,15.09,14.639,18.569,0.978,116.14,0,0,0.944,0,0,5,0.28,0,0,0
ca_noage_s2,ca_noage,2,117.1,113.391,12,6.15,17.451,15.979,23.289,0.975,120.54,0,0,1.206,0,0,5,0.5,0,0,0
