task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
3,empty,storage_empty_slot_2,carding_waiting_2,0,0.15503859519958496,1.228,27.524,27.369,
2,empty,storage_empty_slot_1,carding_waiting_1,1,0.15450358390808105,1.174,30.683,30.529,
1,empty,storage_empty_slot_0,carding_waiting_0,3,0.15381073951721191,0.309,34.209,34.055,
4,empty,storage_empty_slot_3,carding_waiting_3,2,2.055706024169922,2.062,38.257,36.201,
5,empty,storage_empty_slot_2,carding_waiting_2,0,27.554800033569336,27.727,40.525,12.97,
6,empty,storage_empty_slot_1,carding_waiting_1,1,30.753029346466064,30.775,43.574,12.821,
8,empty,storage_empty_slot_0,carding_waiting_0,3,34.25290775299072,34.31,47.109,12.856,
10,empty,storage_empty_slot_3,carding_waiting_3,2,38.35317850112915,38.457,51.357,13.004,
11,empty,storage_empty_slot_2,carding_waiting_2,0,40.55300259590149,40.724,53.328,12.775,
12,empty,storage_empty_slot_1,carding_waiting_1,1,43.65294098854065,43.779,56.475,12.822,
13,empty,storage_empty_slot_0,carding_waiting_0,3,47.15304374694824,47.211,59.715,12.562,
14,empty,storage_empty_slot_3,carding_waiting_3,2,51.45304346084595,51.457,64.161,12.708,
7,green,carding_finished_2,drawing_waiting_0,0,52.053417444229126,53.424,76.026,23.972,
9,green,carding_finished_1,drawing_waiting_1,1,56.05527997016907,56.574,79.374,23.318,
15,empty,storage_empty_slot_0,carding_waiting_2,3,76.05412697792053,76.11,94.609,18.555,
