task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.313384771347046,2.382,25.776,23.463,
2,empty,storage_empty_slot_1,carding_waiting_1,1,2.313797950744629,2.639,28.248,25.934,
4,empty,storage_empty_slot_3,carding_waiting_3,3,2.331988573074341,2.614,35.212,32.88,
5,empty,storage_empty_slot_0,carding_waiting_0,0,25.794970512390137,25.881,38.675,12.88,
3,empty,storage_empty_slot_2,carding_waiting_2,2,2.3251233100891113,2.341,39.42,37.094,
6,empty,storage_empty_slot_1,carding_waiting_1,1,28.300724267959595,28.344,40.938,12.637,
9,empty,storage_empty_slot_3,carding_waiting_3,3,35.29473638534546,35.408,47.919,12.624,
10,empty,storage_empty_slot_0,carding_waiting_0,0,38.697351932525635,38.874,51.477,12.78,
11,empty,storage_empty_slot_2,carding_waiting_2,2,39.49853181838989,39.621,52.519,13.02,
12,empty,storage_empty_slot_1,carding_waiting_1,1,40.99534225463867,41.037,53.539,12.543,
13,empty,storage_empty_slot_3,carding_waiting_3,3,47.99433159828186,48.008,60.807,12.813,
7,green,carding_finished_0,drawing_waiting_0,0,50.29574179649353,51.674,70.28,19.985,
14,empty,storage_empty_slot_0,carding_waiting_2,1,52.597769260406494,53.646,72.336,19.739,
8,green,carding_finished_1,drawing_waiting_1,2,52.29642200469971,52.622,76.32,24.024,
16,green,carding_finished_0,drawing_waiting_0,0,72.29500484466553,72.376,85.777,13.482,
15,empty,storage_empty_slot_1,carding_waiting_0,3,70.30161499977112,70.308,90.807,20.505,
18,green,carding_finished_1,drawing_waiting_1,2,76.39734101295471,76.428,95.621,19.223,
17,empty,storage_empty_slot_0,carding_waiting_1,1,76.39555811882019,76.441,95.936,19.541,
21,green,carding_finished_0,drawing_waiting_0,0,85.79746532440186,85.878,99.376,13.579,
22,empty,storage_empty_slot_1,carding_waiting_0,3,90.89493942260742,91.008,107.411,16.516,
23,green,carding_finished_3,drawing_waiting_1,2,95.6975953578949,95.822,108.419,12.722,
24,empty,storage_empty_slot_0,carding_waiting_1,1,95.99478363990784,96.037,112.336,16.341,
