task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.0110843181610107,2.06,20.259,18.248,
3,empty,storage_empty_slot_2,carding_waiting_2,2,2.012383460998535,2.022,28.22,26.208,
2,empty,storage_empty_slot_1,carding_waiting_1,3,4.010531425476074,4.047,28.646,24.635,
4,empty,storage_empty_slot_3,carding_waiting_3,1,2.012787103652954,2.066,29.665,27.652,
5,empty,storage_empty_slot_0,carding_waiting_0,0,20.309946537017822,20.36,33.259,12.949,
6,green,carding_finished_0,drawing_waiting_0,4,26.310765981674194,26.364,40.863,14.553,
7,empty,storage_empty_slot_2,carding_waiting_2,2,28.31062650680542,28.32,40.92,12.609,
8,empty,storage_empty_slot_1,carding_waiting_1,3,28.71024179458618,28.747,41.446,12.735,
9,empty,storage_empty_slot_3,carding_waiting_3,1,29.709917068481445,29.766,42.365,12.655,
10,empty,storage_empty_slot_0,carding_waiting_0,0,33.31011652946472,33.36,46.259,12.949,
12,green,carding_finished_0,drawing_waiting_0,4,40.91088819503784,40.965,53.564,12.653,
13,empty,storage_empty_slot_2,carding_waiting_2,2,41.009926080703735,41.52,54.119,13.11,
14,empty,storage_empty_slot_1,carding_waiting_1,3,41.51007437705994,41.546,54.146,12.635,
11,green,carding_finished_2,drawing_waiting_1,5,34.41184139251709,34.454,56.753,22.341,
16,empty,storage_empty_slot_0,carding_waiting_0,0,46.310476541519165,46.36,59.06,12.749,
17,yellow,drawing_finished_0,roving_waiting_0,7,48.51039457321167,48.558,61.157,12.647,
18,green,carding_finished_0,drawing_waiting_0,4,53.61056327819824,53.664,65.663,12.053,
19,empty,storage_empty_slot_1,carding_waiting_2,3,56.81015753746033,56.846,71.446,14.636,
21,empty,storage_empty_slot_0,carding_waiting_0,0,59.11082983016968,59.16,72.059,12.948,
20,green,carding_finished_2,drawing_waiting_1,2,56.81110596656799,56.821,73.719,16.908,
15,empty,storage_empty_slot_3,carding_waiting_3,6,42.41040253639221,42.46,75.358,32.947,
24,green,carding_finished_0,drawing_waiting_0,4,65.71126747131348,65.764,77.863,12.152,
22,yellow,drawing_finished_0,roving_waiting_0,5,61.21177792549133,61.253,79.353,18.141,
23,yellow,drawing_finished_1,roving_waiting_1,7,64.31066536903381,64.357,80.097,15.786,
26,empty,storage_empty_slot_0,carding_waiting_0,0,72.10997748374939,72.159,84.959,12.849,
29,yellow,drawing_finished_0,roving_waiting_0,5,79.41029715538025,79.453,88.953,9.543,
31,yellow,drawing_finished_1,roving_waiting_1,7,81.41034507751465,81.459,90.557,9.147,
30,green,carding_finished_0,drawing_waiting_0,4,79.41146469116211,79.464,91.763,12.352,
25,red,roving_finished_0,storage_red_slot_0,1,70.31075859069824,70.365,100.865,30.554,
32,empty,storage_empty_slot_0,carding_waiting_0,6,85.0099630355835,85.058,106.557,21.547,
33,red,roving_finished_1,storage_red_slot_1,5,89.11137294769287,89.153,107.652,18.541,
35,green,carding_finished_0,drawing_waiting_0,0,91.81009984016418,91.86,110.759,18.949,
34,yellow,drawing_finished_0,roving_waiting_1,7,90.61091184616089,90.658,111.358,20.747,
36,red,roving_finished_0,storage_red_slot_0,1,100.91048407554626,100.966,113.765,12.854,
