task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,0.13812708854675293,0.595,18.696,18.558,
2,empty,storage_empty_slot_1,carding_waiting_1,1,1.9483122825622559,2.036,24.136,22.188,
3,empty,storage_empty_slot_2,carding_waiting_2,6,0.1388380527496338,0.578,31.279,31.14,
4,empty,storage_empty_slot_3,carding_waiting_3,7,0.1391453742980957,0.569,33.569,33.43,
6,empty,storage_empty_slot_1,carding_waiting_1,0,24.146092653274536,24.197,38.496,14.35,
7,green,carding_finished_0,drawing_waiting_0,3,24.846452236175537,24.865,38.666,13.819,
5,empty,storage_empty_slot_0,carding_waiting_0,2,18.746291399002075,18.818,40.218,21.472,
9,empty,storage_empty_slot_2,carding_waiting_2,1,31.346373081207275,31.437,45.836,14.489,
10,empty,storage_empty_slot_3,carding_waiting_3,7,33.646220684051514,33.67,46.37,12.724,
8,green,carding_finished_1,drawing_waiting_1,4,30.246689319610596,30.334,50.732,20.486,
11,empty,storage_empty_slot_1,carding_waiting_1,6,38.546106576919556,38.58,52.879,14.333,
13,empty,storage_empty_slot_0,carding_waiting_0,0,40.247002363204956,40.295,56.396,16.149,
14,empty,storage_empty_slot_2,carding_waiting_2,1,45.84580087661743,45.936,58.535,12.689,
15,yellow,drawing_finished_0,roving_waiting_0,5,46.34769153594971,46.397,58.796,12.448,
16,empty,storage_empty_slot_3,carding_waiting_3,7,46.44604516029358,46.47,58.97,12.524,
12,green,carding_finished_3,drawing_waiting_0,3,39.74671506881714,39.766,64.065,24.318,
18,empty,storage_empty_slot_1,carding_waiting_1,2,52.94669818878174,53.018,67.517,14.571,
19,empty,storage_empty_slot_0,carding_waiting_0,0,56.44599366188049,56.497,68.396,11.95,
17,green,carding_finished_1,drawing_waiting_1,4,50.74715828895569,50.833,69.233,18.486,
21,empty,storage_empty_slot_2,carding_waiting_3,1,64.14603042602539,64.237,79.136,14.99,
20,yellow,drawing_finished_1,roving_waiting_1,6,58.34700083732605,58.379,82.579,24.232,
23,red,roving_finished_0,storage_red_slot_0,5,67.94815850257874,67.997,84.696,16.748,
25,green,carding_finished_1,drawing_waiting_1,3,69.24692845344543,69.267,85.665,16.418,
22,green,carding_finished_3,drawing_waiting_0,7,64.14678478240967,64.171,89.17,25.024,
26,yellow,drawing_finished_0,roving_waiting_0,4,71.7465558052063,71.833,90.133,18.386,
27,yellow,drawing_finished_1,roving_waiting_1,6,82.64658308029175,82.679,92.478,9.832,
28,green,carding_finished_1,drawing_waiting_1,3,85.74720430374146,85.764,104.265,18.518,
31,red,roving_finished_1,storage_red_slot_0,5,91.74732255935669,91.796,109.897,18.149,
32,yellow,drawing_finished_1,roving_waiting_0,6,93.34694314002991,93.38,110.179,16.832,
33,yellow,drawing_finished_0,roving_waiting_1,4,96.84587335586548,96.934,112.833,15.987,
30,green,carding_finished_3,drawing_waiting_0,1,89.24714303016663,89.336,113.936,24.688,
