task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
3,empty,storage_empty_slot_2,carding_waiting_2,0,0.06458497047424316,0.989,24.888,24.824,
2,empty,storage_empty_slot_1,carding_waiting_1,4,0.06444907188415527,0.961,26.09,26.026,
4,empty,storage_empty_slot_3,carding_waiting_3,1,0.06470203399658203,0.963,28.228,28.163,
1,empty,storage_empty_slot_0,carding_waiting_0,-1,0.06419944763183594,,31.258,31.194,
6,empty,storage_empty_slot_1,carding_waiting_1,0,26.16436529159546,26.189,41.588,15.424,
7,empty,storage_empty_slot_3,carding_waiting_3,4,28.26431441307068,28.291,46.792,18.527,
5,empty,storage_empty_slot_2,carding_waiting_2,2,24.963809490203857,24.977,49.576,24.612,
11,empty,storage_empty_slot_1,carding_waiting_1,0,41.66415548324585,41.689,54.089,12.425,
9,empty,storage_empty_slot_0,carding_waiting_0,3,31.264116764068604,31.338,56.038,24.774,
12,empty,storage_empty_slot_3,carding_waiting_3,4,46.864341020584106,46.891,59.591,12.727,
13,empty,storage_empty_slot_2,carding_waiting_2,2,49.664653062820435,49.678,62.476,12.812,
