task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
2,empty,storage_empty_slot_1,carding_waiting_1,0,2.7193191051483154,2.782,23.182,20.463,
4,empty,storage_empty_slot_3,carding_waiting_3,3,2.720062494277954,2.765,31.064,28.344,
6,empty,storage_empty_slot_1,carding_waiting_1,0,23.218057870864868,23.282,35.882,12.664,
7,empty,storage_empty_slot_2,carding_waiting_2,1,25.818872451782227,25.826,43.725,17.906,
10,empty,storage_empty_slot_3,carding_waiting_3,3,31.11912775039673,31.164,43.963,12.844,
8,green,carding_finished_0,drawing_waiting_0,5,29.018314599990845,29.05,45.249,16.231,
5,empty,storage_empty_slot_0,carding_waiting_0,4,22.91882562637329,22.954,47.453,24.534,
9,green,carding_finished_1,drawing_waiting_1,2,29.21987795829773,29.258,49.356,20.136,
12,empty,storage_empty_slot_2,carding_waiting_2,1,43.81844162940979,43.826,56.426,12.607,
13,empty,storage_empty_slot_3,carding_waiting_3,3,44.01895570755005,44.064,56.564,12.545,
15,green,carding_finished_1,drawing_waiting_0,5,49.42002272605896,49.45,60.549,11.129,
14,empty,storage_empty_slot_0,carding_waiting_0,0,47.519277572631836,47.582,61.383,13.863,
11,empty,storage_empty_slot_1,carding_waiting_1,6,35.91882586479187,35.989,64.489,28.57,
16,yellow,drawing_finished_0,roving_waiting_0,7,52.81879925727844,52.876,65.476,12.657,
18,yellow,drawing_finished_1,roving_waiting_1,2,57.01911664009094,57.058,72.757,15.738,
19,empty,storage_empty_slot_0,carding_waiting_0,0,61.41928172111511,61.482,74.182,12.763,
21,yellow,drawing_finished_0,roving_waiting_0,7,68.11906838417053,68.177,77.276,9.157,
17,green,carding_finished_0,drawing_waiting_1,4,53.61971569061279,53.653,78.254,24.634,
20,empty,storage_empty_slot_1,carding_waiting_1,1,64.51908230781555,64.526,80.525,16.006,
22,green,carding_finished_1,drawing_waiting_0,5,70.62014627456665,70.649,82.849,12.229,
23,red,roving_finished_0,storage_red_slot_0,2,74.5195083618164,74.558,95.557,21.037,
29,green,carding_finished_1,drawing_waiting_0,5,86.62001848220825,86.649,99.549,12.929,
27,red,roving_finished_1,storage_red_slot_1,7,81.81953477859497,81.876,100.377,18.557,
25,green,carding_finished_0,drawing_waiting_1,0,78.31943154335022,78.383,105.082,26.762,
28,yellow,drawing_finished_1,roving_waiting_0,4,85.91957354545593,85.954,106.053,20.133,
31,red,roving_finished_0,storage_red_slot_0,2,95.61956357955933,95.757,110.257,14.637,
32,green,carding_finished_0,drawing_waiting_0,5,105.11975932121277,105.149,116.149,11.029,
