task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.0245349407196045,2.087,20.387,18.363,
2,empty,storage_empty_slot_1,carding_waiting_1,1,2.0247347354888916,2.027,24.426,22.401,
3,empty,storage_empty_slot_2,carding_waiting_2,2,4.024911403656006,4.092,29.092,25.067,
4,empty,storage_empty_slot_3,carding_waiting_3,3,4.025285005569458,4.064,32.363,28.337,
6,empty,storage_empty_slot_1,carding_waiting_1,1,24.524504899978638,24.526,37.226,12.701,
8,empty,storage_empty_slot_2,carding_waiting_2,2,29.124505758285522,29.192,41.991,12.867,
7,green,carding_finished_0,drawing_waiting_0,5,26.524399280548096,26.588,43.688,17.164,
5,empty,storage_empty_slot_0,carding_waiting_0,4,20.424321174621582,20.464,44.962,24.538,
9,green,carding_finished_1,drawing_waiting_1,0,30.624455451965332,30.687,52.387,21.763,
11,empty,storage_empty_slot_1,carding_waiting_1,3,37.3245005607605,37.363,56.762,19.438,
12,empty,storage_empty_slot_2,carding_waiting_2,1,42.02428102493286,42.025,57.025,15.001,
13,empty,storage_empty_slot_0,carding_waiting_0,2,45.024237632751465,45.091,62.392,17.367,
14,green,carding_finished_0,drawing_waiting_0,5,51.12449932098389,51.189,63.288,12.164,
15,yellow,drawing_finished_0,roving_waiting_0,7,51.224695682525635,51.291,63.99,12.766,
10,empty,storage_empty_slot_3,carding_waiting_3,6,32.42419910430908,32.472,65.77,33.346,
16,green,carding_finished_1,drawing_waiting_1,4,52.424620151519775,52.463,73.862,21.438,
19,empty,storage_empty_slot_0,carding_waiting_0,3,62.424373388290405,62.463,76.862,14.438,
17,empty,storage_empty_slot_1,carding_waiting_1,0,56.8244571685791,56.887,79.487,22.663,
22,yellow,drawing_finished_0,roving_waiting_0,7,70.82458758354187,70.891,79.891,9.067,
21,green,carding_finished_0,drawing_waiting_0,5,68.42463541030884,68.489,80.688,12.263,
18,yellow,drawing_finished_1,roving_waiting_1,1,60.024752140045166,60.026,84.426,24.401,
20,empty,storage_empty_slot_2,carding_waiting_3,2,65.82452535629272,65.892,86.492,20.668,
25,empty,storage_empty_slot_0,carding_waiting_0,3,76.92449426651001,76.963,89.862,12.938,
26,empty,storage_empty_slot_1,carding_waiting_1,0,79.52423882484436,79.588,92.187,12.663,
24,green,carding_finished_1,drawing_waiting_1,4,73.92477107048035,73.963,92.362,18.438,
27,green,carding_finished_0,drawing_waiting_0,5,82.92466592788696,82.989,95.088,12.164,
30,empty,storage_empty_slot_0,carding_waiting_0,3,89.92426681518555,89.963,102.762,12.838,
31,empty,storage_empty_slot_1,carding_waiting_1,0,92.42431855201721,92.487,105.088,12.663,
34,green,carding_finished_0,drawing_waiting_0,5,95.9245834350586,95.989,107.989,12.065,
32,green,carding_finished_1,drawing_waiting_1,4,92.42449045181274,92.463,110.862,18.438,
29,yellow,drawing_finished_0,roving_waiting_1,1,88.32472395896912,88.326,111.026,22.701,
35,empty,storage_empty_slot_0,carding_waiting_0,3,102.8242928981781,102.963,115.863,13.038,
