run_label,policy,num_robots,wall_s,makespan_s,completed,throughput_per_min,latency_mean_s,latency_p50_s,latency_p95_s,utilisation_mean,distance_total_m,traffic_rejected,traffic_expired,min_robot_distance_m,near_miss_events,charging_events,reassignments
ca_ssi_s1,ca_ssi,8,119.3,115.145,34,17.101,18.753,17.593,28.216,0.72,414.27,0,0,0.304,4,0,0
ca_ssi_s2,ca_ssi,8,119.1,113.836,32,16.118,17.693,17.266,25.067,0.729,382.25,0,0,0.334,3,0,0
ca_ssi_s3,ca_ssi,8,119.2,116.537,38,19.13,16.219,15.108,24.198,0.694,375.45,0,0,0.326,3,0,0
ca_nocong_s1,ca_nocong,8,118.8,61.515,11,5.554,21.046,24.612,28.163,0.488,161.83,0,0,0.3,6,0,0
ca_nocong_s2,ca_nocong,8,119.4,114.646,37,18.596,16.736,14.469,25.17,0.735,420.78,0,0,0.484,1,0,0
ca_nocong_s3,ca_nocong,8,119.3,118.527,35,17.608,18.006,15.61,28.577,0.711,407.51,0,0,0.24,3,0,0
ca_noener_s1,ca_noener,8,118.9,117.129,34,17.161,17.526,17.105,24.776,0.709,406.95,0,0,0.322,5,0,0
ca_noener_s2,ca_noener,8,119.2,110.944,26,13.085,19.366,19.535,24.479,0.648,339.72,0,0,0.301,5,0,0
ca_noener_s3,ca_noener,8,118.7,113.384,27,13.651,17.041,15.738,26.762,0.648,321.72,0,0,0.273,2,0,0
ca_nobal_s1,ca_nobal,8,119.0,117.312,36,18.158,17.791,17.807,28.376,0.709,403.91,0,0,0.483,1,0,0
ca_nobal_s2,ca_nobal,8,119.2,113.367,31,15.602,18.062,16.748,25.024,0.708,369.43,0,0,0.331,2,0,0
ca_nobal_s3,ca_nobal,8,119.3,115.683,36,18.101,17.998,16.361,30.949,0.728,423.92,0,0,0.392,4,0,0
ca_noage_s1,ca_noage,8,119.0,111.743,34,17.148,16.588,13.029,27.652,0.724,362.43,0,0,0.333,2,0,0
ca_noage_s2,ca_noage,8,119.3,115.023,35,17.598,18.193,16.415,29.999,0.711,400.59,0,0,0.305,1,0,0
ca_noage_s3,ca_noage,8,118.6,108.829,34,17.204,16.13,12.915,27.541,0.712,359.96,0,0,0.326,4,0,0
