task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
3,empty,storage_empty_slot_2,carding_waiting_2,0,0.22581219673156738,0.242,16.941,16.716,
1,empty,storage_empty_slot_0,carding_waiting_0,3,0.2251114845275879,0.313,18.612,18.387,
2,empty,storage_empty_slot_1,carding_waiting_1,7,0.2254939079284668,0.256,20.456,20.23,
4,empty,storage_empty_slot_3,carding_waiting_3,1,0.22612524032592773,0.275,22.175,21.949,
5,empty,storage_empty_slot_2,carding_waiting_2,0,17.024861812591553,17.041,32.141,15.116,
7,empty,storage_empty_slot_1,carding_waiting_1,7,20.52484917640686,20.556,32.656,12.132,
9,green,carding_finished_2,drawing1_waiting_0,1,23.12496566772461,23.176,38.175,15.05,
6,empty,storage_empty_slot_0,carding_waiting_0,5,18.62500309944153,18.649,40.348,21.723,
12,empty,storage_empty_slot_1,carding_waiting_1,7,32.72506308555603,32.756,44.256,11.531,
8,empty,storage_empty_slot_3,carding_waiting_3,4,22.225083827972412,22.273,45.773,23.547,
11,empty,storage_empty_slot_2,carding_waiting_2,0,32.224886417388916,32.241,47.341,15.116,
10,green,carding_finished_0,drawing1_waiting_1,2,24.725866556167603,24.789,48.689,23.963,
13,green,carding_finished_2,drawing1_waiting_0,1,38.22500038146973,38.276,53.475,15.25,
15,empty,storage_empty_slot_1,carding_waiting_3,7,45.82488512992859,45.856,61.556,15.731,
17,empty,storage_empty_slot_2,carding_waiting_2,0,47.424988985061646,47.441,62.341,14.916,
16,yellow,drawing1_finished_0,drawing2_waiting_0,4,45.82527136802673,45.873,63.772,17.947,
20,yellow,drawing1_finished_1,drawing2_waiting_1,6,56.22518754005432,56.296,67.796,11.571,
19,green,carding_finished_2,drawing1_waiting_0,1,53.525147438049316,53.575,69.175,15.65,
18,green,carding_finished_0,drawing1_waiting_1,2,48.72527313232422,48.789,69.988,21.263,
21,empty,storage_empty_slot_1,carding_waiting_2,0,62.42483854293823,62.441,77.441,15.016,
23,green,carding_finished_2,drawing1_waiting_0,4,69.22580242156982,69.273,86.172,16.946,
26,empty,storage_empty_slot_1,carding_waiting_2,0,77.52508640289307,77.541,92.541,15.016,
