task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
3,empty,storage_empty_slot_2,carding_waiting_2,1,0.2051243782043457,0.359,17.359,17.153,
1,empty,storage_empty_slot_0,carding_waiting_0,6,0.2041003704071045,0.356,20.356,20.152,
2,empty,storage_empty_slot_1,carding_waiting_1,7,0.20458984375,0.307,21.707,21.503,
4,empty,storage_empty_slot_3,carding_waiting_3,5,0.20553040504455566,0.319,27.819,27.614,
5,empty,storage_empty_slot_2,carding_waiting_2,0,17.403778314590454,17.427,38.327,20.923,
8,green,carding_finished_2,drawing1_waiting_0,4,23.40416169166565,23.442,39.542,16.138,
9,green,carding_finished_0,drawing1_waiting_1,6,26.404162168502808,26.457,42.456,16.052,
10,empty,storage_empty_slot_3,carding_waiting_3,5,27.90372371673584,27.92,49.219,21.316,
12,green,carding_finished_1,drawing1_waiting_0,4,39.60406756401062,39.642,50.442,10.837,
13,green,carding_finished_3,drawing1_waiting_1,6,42.50403451919556,42.556,52.956,10.452,
16,yellow,drawing1_finished_1,drawing2_waiting_1,3,50.104339599609375,50.169,64.469,14.365,
15,empty,storage_empty_slot_3,carding_waiting_3,5,49.30418562889099,49.32,69.82,20.515,
17,green,carding_finished_3,drawing1_waiting_0,4,55.40390181541443,55.442,74.942,19.538,
18,yellow,drawing1_finished_1,drawing2_waiting_1,6,64.50471472740173,64.557,76.756,12.251,
20,red,drawing2_finished_1,storage_red_slot_0,3,73.6042332649231,73.67,87.469,13.865,
19,empty,storage_empty_slot_3,carding_waiting_3,5,69.90390753746033,69.92,90.42,20.516,
21,green,carding_finished_3,drawing1_waiting_1,4,75.90395855903625,75.942,91.142,15.238,
