task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
3,empty,storage_empty_slot_2,carding_waiting_2,1,0.20093202590942383,0.454,17.353,17.152,
2,empty,storage_empty_slot_1,carding_waiting_1,3,0.2007460594177246,0.467,17.967,17.766,
4,empty,storage_empty_slot_3,carding_waiting_3,0,2.1009204387664795,2.196,21.895,19.794,
1,empty,storage_empty_slot_0,carding_waiting_0,2,2.100590944290161,2.116,21.915,19.815,
6,empty,storage_empty_slot_1,carding_waiting_1,3,18.00028419494629,18.067,29.867,11.867,
5,empty,storage_empty_slot_2,carding_waiting_2,1,17.400373935699463,17.453,32.553,15.153,
8,empty,storage_empty_slot_0,carding_waiting_0,2,22.000389575958252,22.016,32.815,10.815,
9,green,carding_finished_2,drawing1_waiting_0,0,23.5005943775177,23.595,38.795,15.295,
10,green,carding_finished_1,drawing1_waiting_1,5,24.10046935081482,24.175,42.075,17.975,
13,empty,storage_empty_slot_0,carding_waiting_0,2,32.90022873878479,32.916,43.816,10.915,
7,empty,storage_empty_slot_3,carding_waiting_3,4,22.100679636001587,23.514,46.913,24.813,
12,empty,storage_empty_slot_2,carding_waiting_2,3,32.60057282447815,32.668,47.267,14.666,
11,empty,storage_empty_slot_1,carding_waiting_1,6,29.900596141815186,29.956,48.853,18.953,
14,green,carding_finished_2,drawing1_waiting_0,1,38.80043578147888,38.853,52.553,13.753,
15,green,carding_finished_1,drawing1_waiting_1,0,42.101019859313965,42.195,56.795,14.694,
19,empty,storage_empty_slot_1,carding_waiting_1,6,48.9002149105072,48.953,60.353,11.453,
16,yellow,drawing1_finished_0,drawing2_waiting_0,5,46.30047631263733,46.376,60.775,14.475,
20,yellow,drawing1_finished_1,drawing2_waiting_1,7,49.70049262046814,49.728,60.928,11.227,
18,empty,storage_empty_slot_2,carding_waiting_2,4,47.30016374588013,47.314,64.313,17.013,
17,empty,storage_empty_slot_0,carding_waiting_3,2,47.00049591064453,47.016,67.315,20.315,
21,green,carding_finished_3,drawing1_waiting_0,3,52.600677490234375,52.667,68.767,16.166,
24,yellow,drawing1_finished_0,drawing2_waiting_0,5,60.8006432056427,60.877,70.475,9.675,
23,empty,storage_empty_slot_1,carding_waiting_1,6,60.400612592697144,60.454,72.253,11.853,
22,green,carding_finished_1,drawing1_waiting_1,1,56.80015444755554,56.853,73.053,16.253,
25,yellow,drawing1_finished_1,drawing2_waiting_1,7,64.30099177360535,64.328,73.928,9.627,
26,empty,storage_empty_slot_2,carding_waiting_2,4,64.40054535865784,64.414,79.213,14.813,
28,green,carding_finished_3,drawing1_waiting_0,0,68.80071473121643,68.896,83.595,14.794,
31,empty,storage_empty_slot_1,carding_waiting_1,6,73.10047912597656,73.155,85.953,12.853,
30,red,drawing2_finished_1,storage_red_slot_1,5,70.10038781166077,70.576,86.675,16.575,
32,green,carding_finished_1,drawing1_waiting_1,1,73.10065126419067,73.154,87.753,14.652,
27,empty,storage_empty_slot_0,carding_waiting_3,3,68.800541639328,68.868,88.367,19.566,
33,yellow,drawing1_finished_0,drawing2_waiting_0,7,76.4004418849945,76.428,91.028,14.627,
34,yellow,drawing1_finished_1,drawing2_waiting_1,4,80.70052099227905,80.714,95.813,15.113,
29,red,drawing2_finished_0,storage_red_slot_0,2,69.80047345161438,69.816,97.616,27.816,
