run_label,policy,num_robots,wall_s,makespan_s,completed,throughput_per_min,latency_mean_s,latency_p50_s,latency_p95_s,utilisation_mean,distance_total_m,traffic_rejected,traffic_expired,min_robot_distance_m,near_miss_events,charging_events,reassignments,min_robot_gap_m,overlap_events,dup_target_ticks,dup_target_events
ca_ssi_s1,ca_ssi,1,119.0,105.2,6,3.025,16.036,15.552,16.352,0.985,57.91,0,0,,0,0,7,,0,0,0
ca_ssi_s2,ca_ssi,1,118.5,104.199,6,3.039,16.297,15.697,16.695,0.972,56.03,0,0,,0,0,7,,0,0,0
ca_ssi_s3,ca_ssi,1,119.0,104.401,6,3.025,16.169,15.587,16.283,0.971,56.32,0,0,,0,0,7,,0,0,0
hungarian_s1,hungarian,1,119.4,104.094,6,3.015,15.901,15.2,15.999,0.97,56.64,0,0,,0,0,7,,0,0,0
hungarian_s2,hungarian,1,119.4,104.4,6,3.015,16.04,15.407,16.204,0.971,56.3,0,0,,0,0,7,,0,0,0
hungarian_s3,hungarian,1,119.5,104.299,6,3.014,16.021,15.372,16.12,0.971,56.55,0,0,,0,0,7,,0,0,0
nearest_s1,nearest,1,119.5,104.897,6,3.014,15.787,14.771,15.419,0.983,58.33,0,0,,0,0,7,,0,0,0
nearest_s2,nearest,1,119.5,104.898,6,3.013,16.094,15.111,16.01,0.986,57.88,0,0,,0,0,7,,0,0,0
nearest_s3,nearest,1,118.6,81.399,5,2.529,14.221,14.74,14.841,0.983,57.61,0,0,,0,0,7,,0,0,0
random_s1,random,1,119.4,115.901,5,2.512,20.295,20.016,23.915,0.975,67.41,0,0,,0,0,8,,0,0,0
random_s2,random,1,119.5,102.897,5,2.511,16.07,16.027,16.333,0.984,61.86,0,0,,0,0,9,,0,0,0
random_s3,random,1,119.5,67.7,2,1.004,26.215,26.215,22.614,0.616,42.73,0,0,,0,0,7,,0,0,0
ssi_s1,ssi,1,119.1,104.4,6,3.022,16.122,15.556,16.252,0.97,56.04,0,0,,0,0,7,,0,0,0
ssi_s2,ssi,1,119.1,104.411,6,3.022,16.025,15.377,16.226,0.97,56.13,0,0,,0,0,7,,0,0,0
ssi_s3,ssi,1,119.0,104.0,6,3.026,15.908,15.141,16.04,0.97,56.38,0,0,,0,0,7,,0,0,0
