task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,1.3345084190368652,1.339,24.538,23.204,
3,empty,storage_empty_slot_2,carding_waiting_2,1,1.3352556228637695,1.363,29.062,27.727,
5,empty,storage_empty_slot_0,carding_waiting_0,0,24.634186267852783,24.639,37.738,13.104,
6,empty,storage_empty_slot_2,carding_waiting_2,1,29.134419441223145,29.163,41.862,12.728,
9,empty,storage_empty_slot_0,carding_waiting_0,0,37.8341281414032,37.94,50.938,13.104,
10,empty,storage_empty_slot_2,carding_waiting_2,1,41.93422484397888,42.063,54.663,12.729,
11,empty,storage_empty_slot_1,carding_waiting_1,0,49.336108922958374,51.139,65.741,16.405,
12,empty,storage_empty_slot_3,carding_waiting_3,1,53.33516192436218,54.764,69.362,16.027,
13,empty,storage_empty_slot_0,carding_waiting_1,0,65.83430814743042,65.938,81.838,16.004,
16,green,carding_finished_2,drawing_waiting_1,1,80.337637424469,80.363,94.462,14.125,
17,empty,storage_empty_slot_0,carding_waiting_1,0,81.93424201011658,81.938,98.339,16.404,
19,green,carding_finished_2,drawing_waiting_1,1,94.53455567359924,94.663,108.262,13.728,
18,empty,storage_empty_slot_2,carding_waiting_2,0,97.33514785766602,98.44,112.538,15.203,
