task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,2,0.3512434959411621,0.487,27.387,27.036,
4,empty,storage_empty_slot_3,carding_waiting_3,1,0.3522775173187256,0.498,36.197,35.844,
5,empty,storage_empty_slot_0,carding_waiting_0,2,27.389336585998535,27.487,40.287,12.897,
7,empty,storage_empty_slot_3,carding_waiting_3,1,36.28946018218994,36.298,49.097,12.807,
8,empty,storage_empty_slot_0,carding_waiting_0,2,40.289427280426025,40.487,53.087,12.797,
12,empty,storage_empty_slot_3,carding_waiting_3,1,49.189281940460205,49.297,61.897,12.707,
10,empty,storage_empty_slot_1,carding_waiting_1,0,45.389893770217896,45.497,65.497,20.107,
11,empty,storage_empty_slot_2,carding_waiting_2,2,51.99009919166565,53.187,73.787,21.797,
6,green,carding_finished_0,drawing_waiting_0,3,43.98972773551941,45.517,74.016,30.026,
13,empty,storage_empty_slot_0,carding_waiting_1,0,65.58925175666809,65.699,81.397,15.807,
9,green,carding_finished_3,drawing_waiting_1,1,61.989482402801514,61.997,81.998,20.008,
16,green,carding_finished_0,drawing_waiting_0,3,74.08962321281433,74.117,87.617,13.527,
14,empty,storage_empty_slot_1,carding_waiting_2,2,73.78968906402588,73.887,89.687,15.897,
20,green,carding_finished_3,drawing_waiting_1,1,82.08985495567322,82.097,95.599,13.509,
17,empty,storage_empty_slot_0,carding_waiting_1,0,81.48941373825073,81.497,97.897,16.407,
21,green,carding_finished_0,drawing_waiting_0,3,87.68971133232117,87.718,101.216,13.527,
19,empty,storage_empty_slot_3,carding_waiting_3,2,87.99048447608948,89.887,103.987,15.996,
24,green,carding_finished_3,drawing_waiting_1,1,95.689777135849,95.698,109.197,13.508,
23,empty,storage_empty_slot_1,carding_waiting_2,0,97.99079060554504,98.098,112.097,14.106,
