task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,-1,1.181018352508545,,25.738,24.556,
3,empty,storage_empty_slot_2,carding_waiting_2,-1,1.1821062564849854,,26.745,25.563,
4,empty,storage_empty_slot_3,carding_waiting_3,-1,1.182504415512085,,35.235,34.053,
6,empty,storage_empty_slot_2,carding_waiting_2,0,26.775745153427124,26.846,39.645,12.869,
9,empty,storage_empty_slot_3,carding_waiting_3,2,35.27563738822937,35.337,48.235,12.96,
10,empty,storage_empty_slot_2,carding_waiting_2,0,39.67509984970093,39.745,52.345,12.669,
12,empty,storage_empty_slot_3,carding_waiting_3,2,48.27549195289612,48.336,60.937,12.661,
8,green,carding_finished_2,drawing_waiting_1,0,50.47722935676575,52.445,70.846,20.368,
15,green,carding_finished_2,drawing_waiting_1,0,70.87779259681702,70.946,84.345,13.468,
13,empty,storage_empty_slot_0,carding_waiting_0,1,70.87656021118164,70.938,84.438,13.561,
16,green,carding_finished_0,drawing_waiting_0,2,76.97825241088867,77.039,87.436,10.458,
11,empty,storage_empty_slot_1,carding_waiting_1,3,45.67912149429321,45.739,88.739,43.059,
18,green,carding_finished_3,drawing_waiting_1,0,84.37769842147827,84.446,97.045,12.668,
19,empty,storage_empty_slot_0,carding_waiting_0,1,84.47674560546875,84.539,97.338,12.861,
21,empty,storage_empty_slot_1,carding_waiting_1,3,88.77612209320068,88.84,101.039,12.263,
20,green,carding_finished_2,drawing_waiting_0,2,87.47549557685852,87.537,105.836,18.361,
24,empty,storage_empty_slot_0,carding_waiting_0,1,97.37608695030212,97.438,110.24,12.864,
25,empty,storage_empty_slot_1,carding_waiting_1,3,101.07580161094666,101.139,113.939,12.863,
