task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.16926646232605,2.205,20.506,18.337,
2,empty,storage_empty_slot_1,carding_waiting_1,1,2.170060873031616,2.192,30.092,27.922,
6,green,carding_finished_0,drawing_waiting_0,5,26.66866970062256,26.744,42.742,16.073,
7,empty,storage_empty_slot_1,carding_waiting_1,1,30.16944694519043,30.193,42.892,12.723,
5,empty,storage_empty_slot_0,carding_waiting_0,4,20.569899797439575,20.588,46.888,26.318,
3,empty,storage_empty_slot_2,carding_waiting_2,2,2.170565128326416,2.183,47.282,45.111,
9,empty,storage_empty_slot_1,carding_waiting_1,1,42.96880221366882,42.993,55.493,12.524,
10,empty,storage_empty_slot_0,carding_waiting_0,4,46.969159841537476,46.989,59.888,12.918,
12,yellow,drawing_finished_0,roving_waiting_0,6,50.36838912963867,50.467,62.367,11.999,
4,empty,storage_empty_slot_3,carding_waiting_3,3,4.168898820877075,4.223,65.222,61.053,
14,empty,storage_empty_slot_0,carding_waiting_0,2,59.9680290222168,59.983,77.882,17.914,
13,green,carding_finished_0,drawing_waiting_0,1,55.5684449672699,55.593,84.092,28.524,
16,red,roving_finished_0,storage_red_slot_0,7,71.46870946884155,71.498,86.497,15.028,
17,empty,storage_empty_slot_0,carding_waiting_0,2,84.1704216003418,84.183,96.883,12.712,
19,yellow,drawing_finished_0,roving_waiting_0,6,91.76919674873352,91.866,101.066,9.297,
18,green,carding_finished_2,drawing_waiting_0,1,84.17098379135132,84.192,103.192,19.021,
8,green,carding_finished_1,drawing_waiting_1,0,36.169378995895386,36.208,114.906,78.737,
