task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,1.936138391494751,1.959,20.258,18.322,
3,empty,storage_empty_slot_2,carding_waiting_2,1,1.9373993873596191,2.016,25.917,23.98,
6,empty,storage_empty_slot_2,carding_waiting_2,1,25.93663787841797,26.018,38.718,12.781,
2,empty,storage_empty_slot_1,carding_waiting_1,3,3.935636520385742,3.964,45.464,41.528,
9,empty,storage_empty_slot_2,carding_waiting_2,1,38.73558521270752,38.817,51.518,12.782,
7,green,carding_finished_0,drawing_waiting_0,5,26.435680150985718,26.507,53.009,26.573,
5,empty,storage_empty_slot_0,carding_waiting_0,4,20.336225509643555,20.385,54.986,34.65,
10,empty,storage_empty_slot_1,carding_waiting_1,3,45.53587555885315,45.563,58.264,12.728,
11,green,carding_finished_1,drawing_waiting_0,5,53.03555727005005,53.107,65.611,12.576,
12,empty,storage_empty_slot_0,carding_waiting_0,4,55.03561544418335,55.086,67.986,12.951,
13,empty,storage_empty_slot_1,carding_waiting_1,3,58.3361918926239,58.364,70.963,12.627,
14,yellow,drawing_finished_0,roving_waiting_0,6,60.535759687423706,60.543,72.543,12.007,
8,green,carding_finished_2,drawing_waiting_1,0,31.936429977416992,31.959,77.859,45.922,
15,green,carding_finished_1,drawing_waiting_0,5,65.63591980934143,65.709,77.907,12.271,
16,empty,storage_empty_slot_0,carding_waiting_0,4,68.03512740135193,68.087,80.886,12.85,
18,yellow,drawing_finished_0,roving_waiting_0,6,73.23632955551147,73.244,82.542,9.306,
4,empty,storage_empty_slot_3,carding_waiting_3,2,1.9377808570861816,2.001,83.1,81.162,
17,empty,storage_empty_slot_1,carding_waiting_1,1,71.03580236434937,71.119,85.917,14.882,
19,empty,storage_empty_slot_2,carding_waiting_2,3,77.93770551681519,77.963,92.563,14.625,
24,empty,storage_empty_slot_1,carding_waiting_1,1,85.93667793273926,86.018,98.618,12.681,
22,red,roving_finished_0,storage_red_slot_0,6,82.63626408576965,82.644,99.243,16.607,
25,yellow,drawing_finished_1,roving_waiting_0,0,92.63582754135132,92.659,113.459,20.823,
26,red,roving_finished_0,storage_red_slot_0,6,99.33589363098145,99.344,113.743,14.407,
