run_label,policy,num_robots,wall_s,makespan_s,completed,throughput_per_min,latency_mean_s,latency_p50_s,latency_p95_s,utilisation_mean,distance_total_m,traffic_rejected,traffic_expired,min_robot_distance_m,near_miss_events,charging_events,reassignments,min_robot_gap_m,overlap_events
ca_ssi_s1,ca_ssi,8,119.3,97.428,12,6.033,27.319,25.196,47.905,0.636,185.67,0,0,0.66,0,0,0,0.02,0
ca_ssi_s2,ca_ssi,8,119.4,114.693,27,13.568,21.444,19.099,33.526,0.65,341.71,0,0,0.695,0,0,0,0.03,0
ca_ssi_s3,ca_ssi,8,119.4,112.723,17,8.543,25.071,17.914,61.053,0.616,218.48,0,0,0.617,0,0,0,0.063,0
hungarian_s1,hungarian,8,119.2,111.784,23,11.574,21.263,14.407,41.528,0.631,245.23,0,0,0.657,0,0,0,0.045,0
hungarian_s2,hungarian,8,119.2,104.214,14,7.045,17.065,16.607,23.038,0.594,199.28,0,0,0.694,0,0,0,0.039,0
hungarian_s3,hungarian,8,119.3,81.54,3,1.509,41.973,25.208,25.208,0.684,87.56,0,0,0.605,0,0,0,0.026,0
nearest_s1,nearest,8,119.3,96.717,21,10.563,18.51,12.828,33.231,0.608,263.65,0,0,0.692,0,0,0,0.092,0
nearest_s2,nearest,8,119.3,85.237,11,5.531,23.628,14.753,46.716,0.551,150.97,0,0,0.684,0,0,0,0.036,0
nearest_s3,nearest,8,119.3,116.902,4,2.011,32.974,29.826,30.819,0.651,95.17,0,0,0.625,0,0,0,0.108,0
random_s1,random,8,119.1,58.739,12,6.043,17.658,12.828,27.208,0.402,126.84,0,0,0.695,0,0,0,0.137,0
random_s2,random,8,119.2,77.332,8,4.026,23.17,23.979,28.828,0.677,175.63,0,0,0.653,0,0,0,0.083,0
random_s3,random,8,119.2,114.144,12,6.041,27.225,22.755,48.754,0.618,183.56,0,0,0.645,0,0,0,0.043,0
ssi_s1,ssi,8,119.4,76.5,10,5.025,23.845,16.846,36.669,0.641,156.31,0,0,0.63,0,0,0,0.05,0
ssi_s2,ssi,8,119.2,114.275,12,6.039,24.26,20.864,38.312,0.616,193.61,0,0,0.469,0,0,0,-0.071,1
ssi_s3,ssi,8,119.3,97.422,8,4.023,16.447,14.491,20.72,0.649,105.92,0,0,0.606,0,0,0,0.035,0
zone_s1,zone,8,3.0,,0,0.0,,,,0.337,815.31,0,0,0.728,0,0,0,0.149,0
zone_s2,zone,8,60.9,57.633,12,11.827,15.081,13.413,20.517,0.58,806.55,0,0,0.718,0,0,0,0.117,0
zone_s3,zone,8,119.3,103.618,6,3.016,19.836,19.136,25.102,0.651,119.12,0,0,0.65,0,0,0,0.049,0
