task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.0469043254852295,2.067,20.364,18.317,
3,empty,storage_empty_slot_2,carding_waiting_2,1,2.048544406890869,2.071,26.065,24.017,
2,empty,storage_empty_slot_1,carding_waiting_1,2,4.046450138092041,4.138,32.135,28.089,
5,empty,storage_empty_slot_0,carding_waiting_0,0,20.445546627044678,20.465,33.363,12.918,
6,empty,storage_empty_slot_2,carding_waiting_2,1,26.145649909973145,26.166,38.865,12.719,
7,green,carding_finished_0,drawing_waiting_0,4,26.447206735610962,26.545,41.045,14.597,
4,empty,storage_empty_slot_3,carding_waiting_3,3,4.04676079750061,4.133,44.632,40.585,
8,empty,storage_empty_slot_1,carding_waiting_1,2,32.14643836021423,32.236,44.935,12.789,
10,empty,storage_empty_slot_0,carding_waiting_0,0,33.44492220878601,33.464,46.364,12.92,
11,empty,storage_empty_slot_2,carding_waiting_2,1,38.94590878486633,38.967,51.465,12.519,
13,empty,storage_empty_slot_3,carding_waiting_3,3,44.64548134803772,44.732,57.232,12.586,
14,empty,storage_empty_slot_1,carding_waiting_1,2,44.94607448577881,45.035,57.735,12.789,
15,empty,storage_empty_slot_0,carding_waiting_0,0,46.44635629653931,46.465,59.364,12.918,
16,yellow,drawing_finished_0,roving_waiting_0,7,51.54582500457764,51.576,64.175,12.629,
18,red,roving_finished_0,storage_red_slot_0,7,73.24664783477783,73.277,90.276,17.029,
9,green,carding_finished_2,drawing_waiting_1,5,34.04579257965088,34.138,98.537,64.491,
