task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
2,empty,storage_empty_slot_1,carding_waiting_1,3,0.09843325614929199,0.325,25.326,25.227,
3,empty,storage_empty_slot_2,carding_waiting_2,2,0.0987710952758789,0.326,25.627,25.528,
4,empty,storage_empty_slot_3,carding_waiting_3,0,0.09909939765930176,0.343,27.943,27.844,
1,empty,storage_empty_slot_0,carding_waiting_0,5,0.09803152084350586,0.3,30.999,30.901,
6,empty,storage_empty_slot_2,carding_waiting_2,3,25.698755264282227,25.727,40.226,14.527,
7,empty,storage_empty_slot_3,carding_waiting_3,0,28.001396656036377,28.044,41.543,13.541,
8,empty,storage_empty_slot_0,carding_waiting_0,5,31.09876251220703,31.1,43.999,12.9,
9,green,carding_finished_1,drawing_waiting_0,4,31.399811506271362,31.408,47.508,16.108,
5,empty,storage_empty_slot_1,carding_waiting_1,1,25.398712635040283,25.456,47.655,22.257,
10,green,carding_finished_2,drawing_waiting_1,2,31.80202341079712,31.828,48.827,17.025,
11,empty,storage_empty_slot_2,carding_waiting_2,3,40.29878258705139,40.326,52.926,12.627,
12,empty,storage_empty_slot_3,carding_waiting_3,0,41.59840726852417,41.643,54.443,12.844,
13,empty,storage_empty_slot_0,carding_waiting_0,5,44.09884810447693,44.1,56.999,12.9,
15,empty,storage_empty_slot_1,carding_waiting_1,1,47.99865698814392,48.056,60.755,12.757,
18,yellow,drawing_finished_0,roving_waiting_0,7,55.099520444869995,55.101,67.6,12.5,
21,red,roving_finished_0,storage_red_slot_0,7,76.69907832145691,76.7,93.699,17.0,
