task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.002333641052246,2.057,20.159,18.157,
2,empty,storage_empty_slot_1,carding_waiting_1,1,2.0029916763305664,2.028,24.227,22.224,
4,empty,storage_empty_slot_3,carding_waiting_3,2,2.003891706466675,2.03,30.229,28.225,
5,empty,storage_empty_slot_0,carding_waiting_0,0,20.202563524246216,20.259,33.159,12.957,
6,empty,storage_empty_slot_1,carding_waiting_1,1,24.30265164375305,24.327,36.928,12.625,
8,empty,storage_empty_slot_3,carding_waiting_3,2,30.302325963974,30.429,44.029,13.727,
10,empty,storage_empty_slot_0,carding_waiting_0,0,33.20172190666199,33.261,46.159,12.958,
11,empty,storage_empty_slot_1,carding_waiting_1,1,37.00279521942139,37.029,49.627,12.624,
12,empty,storage_empty_slot_3,carding_waiting_3,2,44.10309433937073,44.13,56.829,12.726,
7,green,carding_finished_0,drawing_waiting_0,0,46.004361391067505,46.261,64.659,18.655,
3,empty,storage_empty_slot_2,carding_waiting_2,1,48.00384855270386,49.827,64.828,16.824,
14,green,carding_finished_0,drawing_waiting_0,0,64.70301651954651,64.86,77.159,12.456,
9,green,carding_finished_1,drawing_waiting_1,2,56.00280952453613,57.03,80.429,24.427,
15,empty,storage_empty_slot_1,carding_waiting_2,1,66.00487875938416,66.028,81.728,15.723,
17,green,carding_finished_0,drawing_waiting_0,0,77.20314383506775,77.258,89.357,12.154,
18,empty,storage_empty_slot_2,carding_waiting_1,1,80.50296068191528,81.826,96.127,15.624,
19,green,carding_finished_1,drawing_waiting_1,2,80.50429463386536,80.631,99.13,18.626,
16,yellow,drawing_finished_0,roving_waiting_0,0,88.00244212150574,89.46,104.76,16.757,
23,green,carding_finished_3,drawing_waiting_1,2,99.20342803001404,99.23,110.129,10.925,
20,empty,storage_empty_slot_1,carding_waiting_2,1,96.00422883033752,96.229,110.328,14.324,
24,yellow,drawing_finished_0,roving_waiting_0,0,104.80344748497009,104.861,114.359,9.555,
