task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
2,empty,storage_empty_slot_1,carding_waiting_1,0,0.10903573036193848,0.512,21.31,21.201,
1,empty,storage_empty_slot_0,carding_waiting_0,2,0.10880732536315918,0.428,22.027,21.918,
3,empty,storage_empty_slot_2,carding_waiting_2,1,0.10917830467224121,0.431,24.028,23.919,
5,empty,storage_empty_slot_1,carding_waiting_1,0,21.410563707351685,21.513,34.211,12.8,
6,empty,storage_empty_slot_0,carding_waiting_0,2,22.1107177734375,22.227,35.027,12.916,
7,empty,storage_empty_slot_2,carding_waiting_2,1,24.110709190368652,24.13,36.728,12.617,
10,empty,storage_empty_slot_1,carding_waiting_1,0,34.30956959724426,34.311,46.911,12.601,
11,empty,storage_empty_slot_0,carding_waiting_0,2,35.11098504066467,35.129,48.127,13.016,
12,empty,storage_empty_slot_2,carding_waiting_2,1,36.809072494506836,36.827,49.328,12.519,
4,empty,storage_empty_slot_3,carding_waiting_3,1,48.01071619987488,49.429,63.929,15.918,
8,green,carding_finished_1,drawing_waiting_0,0,46.01103210449219,47.113,65.611,19.6,
9,green,carding_finished_0,drawing_waiting_1,2,48.01125979423523,48.229,72.927,24.916,
15,green,carding_finished_1,drawing_waiting_0,0,65.71254825592041,65.714,78.311,12.598,
19,green,carding_finished_1,drawing_waiting_0,0,78.41055393218994,78.512,90.811,12.4,
13,empty,storage_empty_slot_0,carding_waiting_3,1,64.00922727584839,64.027,92.628,28.619,
14,empty,storage_empty_slot_1,carding_waiting_1,2,72.01059699058533,73.027,96.127,24.116,
18,yellow,drawing_finished_0,roving_waiting_0,0,90.01118540763855,90.912,106.41,16.399,
22,empty,storage_empty_slot_1,carding_waiting_1,2,96.20974826812744,96.228,108.827,12.617,
16,empty,storage_empty_slot_2,carding_waiting_0,1,92.0103828907013,92.727,113.828,21.818,
