task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,1,0.027417421340942383,0.145,19.843,19.816,
2,empty,storage_empty_slot_1,carding_waiting_1,0,0.027774810791015625,0.147,20.544,20.516,
3,empty,storage_empty_slot_2,carding_waiting_2,2,0.0280759334564209,0.156,24.657,24.629,
5,empty,storage_empty_slot_0,carding_waiting_0,1,19.930858850479126,19.942,32.843,12.912,
6,empty,storage_empty_slot_1,carding_waiting_1,0,20.629324197769165,20.645,33.342,12.713,
7,empty,storage_empty_slot_2,carding_waiting_2,2,24.728700160980225,24.758,37.557,12.829,
10,empty,storage_empty_slot_0,carding_waiting_0,1,32.928245067596436,32.944,45.743,12.815,
11,empty,storage_empty_slot_1,carding_waiting_1,0,33.42944359779358,33.443,46.043,12.613,
12,empty,storage_empty_slot_2,carding_waiting_2,2,37.62948274612427,37.659,50.158,12.528,
8,green,carding_finished_0,drawing_waiting_0,1,43.929505825042725,45.843,64.342,20.413,
4,empty,storage_empty_slot_3,carding_waiting_3,2,49.92836952209473,50.258,65.157,15.228,
9,green,carding_finished_1,drawing_waiting_1,0,45.92952346801758,46.144,65.943,20.013,
14,green,carding_finished_0,drawing_waiting_0,1,64.43016409873962,64.443,76.543,12.113,
17,green,carding_finished_1,drawing_waiting_1,0,66.03024911880493,66.043,84.642,18.612,
15,empty,storage_empty_slot_1,carding_waiting_3,2,65.22951412200928,65.257,87.257,22.028,
20,green,carding_finished_0,drawing_waiting_0,1,76.63014221191406,76.644,88.843,12.213,
19,yellow,drawing_finished_1,roving_waiting_1,0,83.93086671829224,84.743,100.744,16.813,
21,green,carding_finished_1,drawing_waiting_1,1,87.929616689682,88.944,104.343,16.414,
16,empty,storage_empty_slot_2,carding_waiting_1,2,85.92991948127747,87.358,104.558,18.628,
23,yellow,drawing_finished_1,roving_waiting_1,0,100.82963538169861,100.843,110.443,9.613,
