task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,1,0.11922693252563477,0.333,20.034,19.915,
2,empty,storage_empty_slot_1,carding_waiting_1,2,0.11944580078125,0.291,24.192,24.072,
4,empty,storage_empty_slot_3,carding_waiting_3,0,0.11972951889038086,0.32,27.622,27.502,
5,empty,storage_empty_slot_0,carding_waiting_0,1,20.121078491210938,20.135,32.533,12.412,
3,empty,storage_empty_slot_2,carding_waiting_2,2,24.021341800689697,24.293,38.591,14.57,
10,empty,storage_empty_slot_0,carding_waiting_0,1,32.62103343009949,32.634,45.534,12.913,
11,empty,storage_empty_slot_2,carding_waiting_2,2,38.62078261375427,38.693,51.291,12.67,
7,green,carding_finished_0,drawing_waiting_0,0,26.12238597869873,27.723,52.022,25.9,
8,empty,storage_empty_slot_3,carding_waiting_3,2,50.02316212654114,51.393,65.791,15.768,
9,green,carding_finished_1,drawing_waiting_1,1,44.02304744720459,45.634,67.834,23.811,
12,empty,storage_empty_slot_0,carding_waiting_2,0,52.02339768409729,52.122,78.122,26.099,
6,empty,storage_empty_slot_1,carding_waiting_1,2,64.02193069458008,65.892,84.291,20.269,
16,empty,storage_empty_slot_3,carding_waiting_3,1,66.02455854415894,67.935,88.734,22.71,
13,empty,storage_empty_slot_2,carding_waiting_0,0,78.02137327194214,78.222,95.622,17.6,
18,yellow,drawing_finished_1,roving_waiting_1,2,84.02341270446777,84.392,109.191,25.168,
19,empty,storage_empty_slot_0,carding_waiting_1,1,88.02543187141418,88.835,111.033,23.008,
