task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,1.9977622032165527,2.024,20.121,18.123,
3,empty,storage_empty_slot_2,carding_waiting_2,2,1.9990348815917969,2.022,28.72,26.721,
4,empty,storage_empty_slot_3,carding_waiting_3,1,1.999441385269165,2.024,29.422,27.423,
5,empty,storage_empty_slot_0,carding_waiting_0,0,20.196216583251953,20.321,32.82,12.623,
7,empty,storage_empty_slot_2,carding_waiting_2,2,28.796403408050537,28.922,41.722,12.925,
8,empty,storage_empty_slot_3,carding_waiting_3,1,29.497384548187256,29.523,42.221,12.724,
9,empty,storage_empty_slot_0,carding_waiting_0,0,32.89598274230957,32.92,45.822,12.926,
11,empty,storage_empty_slot_2,carding_waiting_2,2,41.79755520820618,41.922,54.521,12.723,
12,empty,storage_empty_slot_3,carding_waiting_3,1,42.38445830345154,42.386,54.922,12.537,
2,empty,storage_empty_slot_1,carding_waiting_1,0,43.997653007507324,45.922,60.421,16.423,
10,green,carding_finished_2,drawing_waiting_1,2,53.99781250953674,54.722,71.721,17.723,
13,empty,storage_empty_slot_0,carding_waiting_1,0,60.49763488769531,60.523,76.22,15.723,
6,green,carding_finished_0,drawing_waiting_0,1,53.99719190597534,55.123,79.322,25.324,
15,green,carding_finished_2,drawing_waiting_1,2,71.7986056804657,71.92,84.32,12.522,
14,empty,storage_empty_slot_1,carding_waiting_2,0,75.99836826324463,76.322,90.121,14.123,
18,green,carding_finished_0,drawing_waiting_0,1,79.3981683254242,79.522,91.622,12.224,
20,green,carding_finished_3,drawing_waiting_1,2,84.39782190322876,84.52,95.42,11.023,
23,green,carding_finished_0,drawing_waiting_0,1,91.69744968414307,91.722,103.822,12.124,
17,empty,storage_empty_slot_2,carding_waiting_0,0,89.99745464324951,90.322,107.921,17.924,
19,yellow,drawing_finished_1,roving_waiting_0,2,93.99866604804993,95.522,116.921,22.922,
