run_label,policy,num_robots,wall_s,makespan_s,completed,throughput_per_min,latency_mean_s,latency_p50_s,latency_p95_s,utilisation_mean,distance_total_m,traffic_rejected,traffic_expired,min_robot_distance_m,near_miss_events,charging_events,reassignments
random_s1,random,3,119.5,110.742,16,8.035,20.274,21.489,26.099,0.987,225.05,0,0,1.177,0,0,0
random_s2,random,3,119.5,116.794,18,9.039,18.597,19.378,25.028,0.986,214.09,0,0,0.56,0,0,0
random_s3,random,3,119.4,116.798,20,10.049,17.178,16.209,25.105,0.985,214.44,0,0,0.576,0,0,0
nearest_s1,nearest,3,119.4,113.2,20,10.047,16.764,14.643,26.291,0.985,204.56,0,0,1.092,0,0,0
nearest_s2,nearest,3,119.4,116.51,22,11.056,15.245,12.905,20.405,0.984,194.78,0,0,1.35,0,0,0
nearest_s3,nearest,3,119.4,110.298,20,10.051,16.173,15.821,22.028,0.986,204.55,0,0,1.324,0,0,0
ssi_s1,ssi,3,119.5,103.697,19,9.542,16.319,15.863,23.598,0.965,202.46,0,0,1.15,0,0,0
ssi_s2,ssi,3,119.5,114.899,20,10.044,16.339,13.524,26.721,0.971,202.48,0,0,1.059,0,0,0
ssi_s3,ssi,3,119.5,112.699,21,10.546,16.023,14.719,24.823,0.971,198.68,0,0,1.337,0,0,0
ca_ssi_s1,ca_ssi,3,119.5,112.331,21,10.546,15.823,14.324,24.427,0.968,196.13,0,0,1.337,0,0,0
ca_ssi_s2,ca_ssi,3,119.5,113.209,22,11.048,15.514,12.96,21.751,0.965,189.3,0,0,1.146,0,0,0
ca_ssi_s3,ca_ssi,3,119.5,116.615,21,10.546,16.072,16.631,22.322,0.965,194.64,0,0,0.723,0,0,0
hungarian_s1,hungarian,3,119.3,113.323,20,10.055,16.776,13.755,26.593,0.985,205.84,0,0,1.094,0,0,0
hungarian_s2,hungarian,3,119.5,110.199,20,10.043,16.435,14.107,24.26,0.985,202.72,0,0,1.092,0,0,0
hungarian_s3,hungarian,3,119.5,113.4,19,9.542,17.5,15.918,24.916,0.985,206.68,0,0,0.634,0,0,0
