task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,0.10832500457763672,0.183,18.084,17.975,
3,empty,storage_empty_slot_2,carding_waiting_2,2,0.1099092960357666,0.128,18.527,18.417,
2,empty,storage_empty_slot_1,carding_waiting_1,7,0.10917353630065918,0.144,20.544,20.434,
4,empty,storage_empty_slot_3,carding_waiting_3,1,0.11063122749328613,0.176,22.276,22.166,
7,empty,storage_empty_slot_1,carding_waiting_1,7,20.605564832687378,20.645,32.444,11.838,
6,empty,storage_empty_slot_2,carding_waiting_2,2,18.6053364276886,18.628,33.427,14.822,
9,green,carding_finished_0,drawing1_waiting_0,0,24.205451488494873,24.285,35.783,11.578,
5,empty,storage_empty_slot_0,carding_waiting_0,5,18.105620622634888,18.108,37.607,19.502,
10,green,carding_finished_2,drawing1_waiting_1,6,24.705521821975708,24.795,38.194,13.489,
8,empty,storage_empty_slot_3,carding_waiting_3,1,22.30541753768921,22.376,42.976,20.671,
11,empty,storage_empty_slot_1,carding_waiting_1,7,32.50535583496094,32.544,44.343,11.838,
13,empty,storage_empty_slot_0,carding_waiting_0,5,37.70531105995178,37.708,48.707,11.002,
12,empty,storage_empty_slot_2,carding_waiting_2,2,33.50567364692688,33.527,48.727,15.221,
14,green,carding_finished_2,drawing1_waiting_0,0,39.60530114173889,39.684,53.683,14.078,
16,yellow,drawing1_finished_0,drawing2_waiting_0,6,43.305519104003906,43.395,57.594,14.289,
18,empty,storage_empty_slot_0,carding_waiting_0,5,48.80531430244446,48.808,60.507,11.702,
17,green,carding_finished_0,drawing1_waiting_1,7,44.405508518218994,44.444,60.544,16.138,
15,empty,storage_empty_slot_3,carding_waiting_3,1,43.005409479141235,43.077,63.676,20.671,
19,empty,storage_empty_slot_1,carding_waiting_2,2,48.80544066429138,48.827,64.827,16.022,
20,yellow,drawing1_finished_1,drawing2_waiting_1,0,53.70569443702698,53.783,68.383,14.677,
22,empty,storage_empty_slot_0,carding_waiting_0,5,60.60540819168091,60.608,71.507,10.902,
25,empty,storage_empty_slot_1,carding_waiting_2,2,64.90581560134888,64.928,79.927,15.021,
23,green,carding_finished_0,drawing1_waiting_1,7,60.60564398765564,60.644,82.043,21.438,
26,red,drawing2_finished_0,storage_red_slot_0,0,68.40550494194031,68.484,88.383,19.978,
27,yellow,drawing1_finished_1,drawing2_waiting_1,5,71.60562491416931,71.608,88.808,17.202,
29,empty,storage_empty_slot_0,carding_waiting_0,2,82.105623960495,82.127,96.527,14.421,
30,green,carding_finished_0,drawing1_waiting_0,7,82.10586977005005,82.144,97.543,15.438,
31,yellow,drawing1_finished_1,drawing2_waiting_1,5,89.7053108215332,89.708,99.608,9.902,
32,empty,storage_empty_slot_0,carding_waiting_0,2,97.60550165176392,97.627,108.327,10.722,
33,green,carding_finished_0,drawing1_waiting_0,7,97.60568714141846,97.644,108.444,10.838,
