task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
2,empty,storage_empty_slot_1,carding_waiting_1,4,0.10559797286987305,0.14,17.537,17.431,
3,empty,storage_empty_slot_2,carding_waiting_2,2,0.10573124885559082,0.148,17.548,17.442,
1,empty,storage_empty_slot_0,carding_waiting_0,6,0.10538172721862793,0.137,20.437,20.332,
4,empty,storage_empty_slot_3,carding_waiting_3,3,0.10584592819213867,0.172,23.587,23.481,
5,empty,storage_empty_slot_1,carding_waiting_1,4,17.605718851089478,17.639,28.937,11.331,
7,empty,storage_empty_slot_0,carding_waiting_0,6,20.505555152893066,20.537,31.637,11.132,
6,empty,storage_empty_slot_2,carding_waiting_2,2,17.60598874092102,17.648,32.748,15.142,
10,green,carding_finished_2,drawing1_waiting_1,7,23.705793142318726,23.788,38.087,14.381,
9,green,carding_finished_1,drawing1_waiting_0,3,23.705612897872925,23.787,39.587,15.881,
11,empty,storage_empty_slot_1,carding_waiting_1,4,29.005590677261353,29.037,40.439,11.434,
12,empty,storage_empty_slot_0,carding_waiting_0,6,31.70552372932434,31.738,42.837,11.131,
8,empty,storage_empty_slot_3,carding_waiting_3,5,23.605454683303833,23.686,48.486,24.881,
13,empty,storage_empty_slot_2,carding_waiting_2,2,32.805729150772095,32.848,48.548,15.742,
14,green,carding_finished_2,drawing1_waiting_1,7,38.90544271469116,38.987,49.688,10.783,
15,green,carding_finished_1,drawing1_waiting_0,3,39.64531350135803,39.687,50.886,11.241,
16,empty,storage_empty_slot_1,carding_waiting_1,4,40.50562930107117,40.538,51.937,11.432,
21,green,carding_finished_1,drawing1_waiting_0,3,50.9055061340332,50.987,61.886,10.981,
19,empty,storage_empty_slot_2,carding_waiting_2,2,48.60571074485779,48.648,63.248,14.642,
22,empty,storage_empty_slot_1,carding_waiting_1,4,52.00573778152466,52.037,63.737,11.731,
20,yellow,drawing1_finished_0,drawing2_waiting_1,7,49.70574069023132,49.788,67.887,18.181,
17,yellow,drawing1_finished_1,drawing2_waiting_0,6,45.70554327964783,45.737,68.637,22.931,
23,green,carding_finished_1,drawing1_waiting_1,3,61.90624737739563,61.988,76.387,14.481,
24,empty,storage_empty_slot_2,carding_waiting_2,2,63.30574107170105,63.348,78.148,14.842,
28,green,carding_finished_1,drawing1_waiting_0,3,76.40540933609009,76.487,90.687,14.282,
29,red,drawing2_finished_1,storage_red_slot_0,2,78.20545291900635,78.248,98.948,20.742,
