task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
2,empty,storage_empty_slot_1,carding_waiting_1,1,0.5271751880645752,0.665,16.866,16.338,
4,empty,storage_empty_slot_3,carding_waiting_3,0,0.5279765129089355,0.755,20.755,20.227,
1,empty,storage_empty_slot_0,carding_waiting_0,2,2.426992416381836,2.486,21.185,18.758,
3,empty,storage_empty_slot_2,carding_waiting_2,4,0.5276813507080078,0.656,21.658,21.13,
7,empty,storage_empty_slot_0,carding_waiting_0,2,21.22682547569275,21.286,31.985,10.758,
9,green,carding_finished_1,drawing1_waiting_0,4,23.026909112930298,23.057,36.556,13.529,
5,empty,storage_empty_slot_1,carding_waiting_1,3,16.92690920829773,16.955,37.256,20.329,
10,green,carding_finished_3,drawing1_waiting_1,5,26.926741361618042,26.992,38.492,11.565,
6,empty,storage_empty_slot_3,carding_waiting_3,1,20.826913118362427,20.865,39.664,18.838,
8,empty,storage_empty_slot_2,carding_waiting_2,0,21.72702646255493,21.755,40.455,18.728,
11,empty,storage_empty_slot_0,carding_waiting_0,2,32.02671194076538,32.085,43.085,11.058,
12,green,carding_finished_0,drawing1_waiting_0,4,36.6268835067749,36.656,46.656,10.029,
13,empty,storage_empty_slot_1,carding_waiting_1,3,37.32707858085632,37.355,48.755,11.427,
16,green,carding_finished_1,drawing1_waiting_1,2,43.42683410644531,43.485,58.885,15.458,
17,yellow,drawing1_finished_0,drawing2_waiting_0,7,44.226874351501465,44.263,60.163,15.936,
18,empty,storage_empty_slot_0,carding_waiting_0,4,46.727015018463135,46.757,61.057,14.33,
14,empty,storage_empty_slot_3,carding_waiting_3,5,39.72670817375183,39.792,62.692,22.965,
21,yellow,drawing1_finished_0,drawing2_waiting_0,7,60.226826429367065,60.263,69.863,9.636,
20,green,carding_finished_0,drawing1_waiting_0,3,58.926918029785156,58.955,71.154,12.228,
22,yellow,drawing1_finished_1,drawing2_waiting_1,2,61.12682509422302,61.185,72.785,11.658,
23,empty,storage_empty_slot_0,carding_waiting_3,4,62.726991176605225,62.757,82.056,19.329,
26,yellow,drawing1_finished_1,drawing2_waiting_0,2,72.82714867591858,72.885,87.185,14.358,
25,empty,storage_empty_slot_3,carding_waiting_0,5,71.22690439224243,71.292,90.692,19.465,
24,red,drawing2_finished_0,storage_red_slot_0,6,69.92684364318848,70.092,95.219,25.292,
27,yellow,drawing1_finished_0,drawing2_waiting_1,7,82.12698554992676,82.164,95.563,13.436,
29,green,carding_finished_0,drawing1_waiting_0,3,90.72720313072205,90.755,101.554,10.827,
28,red,drawing2_finished_1,storage_red_slot_1,2,87.22676134109497,87.285,104.085,16.858,
