task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.170464277267456,2.2,20.099,17.929,
3,empty,storage_empty_slot_2,carding_waiting_2,2,0.27059459686279297,0.49,25.488,25.217,
2,empty,storage_empty_slot_1,carding_waiting_1,6,0.2701375484466553,0.481,29.281,29.011,
4,empty,storage_empty_slot_3,carding_waiting_3,1,4.170781135559082,4.219,33.818,29.648,
7,green,carding_finished_0,drawing_waiting_0,4,26.27088975906372,26.343,40.943,14.672,
5,empty,storage_empty_slot_0,carding_waiting_0,3,20.171324491500854,20.271,42.969,22.798,
6,empty,storage_empty_slot_2,carding_waiting_2,0,25.569921016693115,25.6,43.799,18.229,
8,empty,storage_empty_slot_1,carding_waiting_1,2,29.369473457336426,29.39,45.287,15.918,
9,green,carding_finished_2,drawing_waiting_1,6,31.570146322250366,31.581,50.081,18.511,
11,green,carding_finished_1,drawing_waiting_0,4,40.97094368934631,41.044,52.043,11.072,
12,empty,storage_empty_slot_0,carding_waiting_0,3,43.06943321228027,43.17,56.069,13.0,
13,empty,storage_empty_slot_2,carding_waiting_2,0,43.869709730148315,43.899,56.599,12.729,
15,yellow,drawing_finished_0,roving_waiting_0,7,48.570281744003296,48.595,61.294,12.724,
14,empty,storage_empty_slot_1,carding_waiting_1,1,45.36974287033081,45.419,64.118,18.748,
17,green,carding_finished_1,drawing_waiting_0,6,52.07051467895508,52.081,68.081,16.011,
16,green,carding_finished_2,drawing_waiting_1,2,50.170936822891235,50.188,69.287,19.117,
18,empty,storage_empty_slot_0,carding_waiting_0,3,56.1722514629364,56.271,69.37,13.198,
19,empty,storage_empty_slot_2,carding_waiting_2,0,56.669830322265625,56.7,69.399,12.729,
21,yellow,drawing_finished_0,roving_waiting_0,7,61.37088751792908,61.495,70.695,9.325,
10,empty,storage_empty_slot_3,carding_waiting_3,5,33.87015438079834,33.888,71.688,37.818,
22,empty,storage_empty_slot_1,carding_waiting_1,1,64.17031288146973,64.219,76.918,12.748,
20,yellow,drawing_finished_1,roving_waiting_1,4,57.77119779586792,57.843,78.242,20.471,
28,yellow,drawing_finished_0,roving_waiting_0,7,75.77210927009583,75.795,85.295,9.523,
30,yellow,drawing_finished_1,roving_waiting_1,4,78.27029871940613,78.444,87.542,9.272,
27,empty,storage_empty_slot_2,carding_waiting_3,5,71.77021670341492,71.788,87.588,15.818,
24,empty,storage_empty_slot_0,carding_waiting_2,3,69.46989631652832,69.57,87.97,18.5,
29,empty,storage_empty_slot_1,carding_waiting_1,1,76.97000050544739,77.019,89.718,12.748,
23,green,carding_finished_2,drawing_waiting_0,6,69.37144804000854,69.382,89.881,20.509,
25,green,carding_finished_1,drawing_waiting_1,2,70.17369675636292,70.189,90.588,20.414,
26,red,roving_finished_0,storage_red_slot_0,0,70.37168598175049,70.4,102.699,32.327,
34,empty,storage_empty_slot_1,carding_waiting_1,3,90.66969513893127,90.77,105.67,15.0,
31,red,roving_finished_1,storage_red_slot_1,7,87.37101626396179,87.397,106.095,18.724,
32,empty,storage_empty_slot_0,carding_waiting_2,1,89.96982145309448,90.019,109.718,19.749,
36,yellow,drawing_finished_0,roving_waiting_1,4,97.47158169746399,97.543,118.542,21.071,
