task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,1.9842445850372314,2.035,20.134,18.15,
2,empty,storage_empty_slot_1,carding_waiting_1,1,1.9850835800170898,1.993,24.192,22.207,
4,empty,storage_empty_slot_3,carding_waiting_3,2,1.9866349697113037,2.014,29.912,27.926,
3,empty,storage_empty_slot_2,carding_waiting_2,3,3.9841744899749756,4.013,30.712,26.728,
6,empty,storage_empty_slot_1,carding_waiting_1,1,24.283371210098267,24.292,37.692,13.409,
7,green,carding_finished_0,drawing_waiting_0,5,26.1852445602417,26.226,42.925,16.74,
5,empty,storage_empty_slot_0,carding_waiting_0,4,20.18356418609619,20.267,44.667,24.483,
10,empty,storage_empty_slot_2,carding_waiting_2,2,30.783151149749756,30.817,44.814,14.031,
11,empty,storage_empty_slot_1,carding_waiting_1,3,37.78390908241272,37.813,51.812,14.028,
8,empty,storage_empty_slot_3,carding_waiting_3,0,29.984684944152832,30.036,52.034,22.049,
9,green,carding_finished_1,drawing_waiting_1,6,30.28433847427368,30.308,53.407,23.123,
14,empty,storage_empty_slot_2,carding_waiting_2,2,44.88348031044006,44.914,57.513,12.629,
15,yellow,drawing_finished_0,roving_waiting_0,7,50.48625183105469,50.515,63.115,12.629,
13,empty,storage_empty_slot_0,carding_waiting_0,5,44.684009075164795,44.725,69.124,24.44,
12,green,carding_finished_3,drawing_waiting_0,1,42.98408651351929,42.992,70.192,27.208,
16,empty,storage_empty_slot_1,carding_waiting_3,3,52.08389353752136,52.113,70.512,18.428,
17,empty,storage_empty_slot_3,carding_waiting_1,0,53.48404622077942,53.534,72.333,18.849,
18,green,carding_finished_1,drawing_waiting_1,6,53.48560571670532,53.507,73.706,20.22,
20,empty,storage_empty_slot_0,carding_waiting_0,4,69.18326711654663,69.267,84.166,14.982,
19,yellow,drawing_finished_1,roving_waiting_1,2,61.08449196815491,61.113,85.312,24.228,
23,red,roving_finished_0,storage_red_slot_0,7,72.28413820266724,72.315,89.315,17.031,
22,empty,storage_empty_slot_1,carding_waiting_3,5,70.58327531814575,70.625,89.825,19.241,
24,empty,storage_empty_slot_2,carding_waiting_1,3,73.78362536430359,73.814,91.312,17.528,
27,yellow,drawing_finished_1,roving_waiting_1,2,85.38359642028809,85.413,94.512,9.129,
25,green,carding_finished_1,drawing_waiting_1,6,73.78465127944946,73.908,94.706,20.921,
21,green,carding_finished_3,drawing_waiting_0,1,70.28469896316528,70.294,96.192,25.907,
26,yellow,drawing_finished_0,roving_waiting_0,0,77.78540992736816,77.837,102.734,24.948,
29,empty,storage_empty_slot_0,carding_waiting_1,4,94.7840428352356,94.867,109.666,14.882,
33,yellow,drawing_finished_1,roving_waiting_1,2,102.38411903381348,102.415,111.912,9.528,
28,red,roving_finished_1,storage_red_slot_0,7,94.38377451896667,94.415,112.514,18.13,
34,yellow,drawing_finished_0,roving_waiting_0,0,103.78491163253784,103.836,113.334,9.549,
30,green,carding_finished_1,drawing_waiting_1,3,94.78496932983398,94.813,115.312,20.527,
32,green,carding_finished_3,drawing_waiting_0,6,96.28474688529968,96.307,116.106,19.821,
31,empty,storage_empty_slot_1,carding_waiting_3,5,96.28388690948486,96.326,118.825,22.541,
