task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
7,green,carding_finished_1,drawing_waiting_0,2,29.277645587921143,29.315,43.713,14.436,
9,empty,storage_empty_slot_2,carding_waiting_2,6,31.878424644470215,31.886,44.586,12.708,
8,empty,storage_empty_slot_0,carding_waiting_0,0,29.977576732635498,30.017,49.817,19.84,
5,empty,storage_empty_slot_1,carding_waiting_1,7,23.1779625415802,23.2,53.9,30.722,
11,green,carding_finished_0,drawing_waiting_0,2,43.778106927871704,43.814,55.113,11.335,
10,green,carding_finished_3,drawing_waiting_1,1,34.47860074043274,34.57,55.169,20.69,
12,empty,storage_empty_slot_2,carding_waiting_2,6,44.67812967300415,44.687,57.286,12.608,
6,empty,storage_empty_slot_3,carding_waiting_3,4,28.477792263031006,28.5,61.5,33.022,
15,empty,storage_empty_slot_1,carding_waiting_1,7,53.97806262969971,54.0,66.599,12.621,
16,green,carding_finished_0,drawing_waiting_0,2,55.8790385723114,55.914,67.913,12.034,
14,yellow,drawing_finished_0,roving_waiting_0,3,51.37825679779053,51.473,76.671,25.293,
18,empty,storage_empty_slot_2,carding_waiting_3,4,61.57790923118591,61.601,77.3,15.722,
19,yellow,drawing_finished_1,roving_waiting_1,1,62.778355836868286,62.871,78.37,15.591,
20,empty,storage_empty_slot_1,carding_waiting_1,7,66.67784786224365,66.699,79.299,12.621,
17,green,carding_finished_1,drawing_waiting_1,6,60.0782516002655,60.088,80.086,20.008,
23,empty,storage_empty_slot_1,carding_waiting_1,7,80.17778968811035,80.199,92.799,12.621,
22,empty,storage_empty_slot_2,carding_waiting_3,4,77.37799096107483,77.4,93.7,16.322,
21,yellow,drawing_finished_0,roving_waiting_0,2,76.6785683631897,76.714,94.013,17.335,
24,green,carding_finished_1,drawing_waiting_0,6,80.17802000045776,80.186,96.486,16.308,
25,red,roving_finished_0,storage_red_slot_0,1,85.77869915962219,85.87,105.169,19.39,
26,red,roving_finished_1,storage_red_slot_1,3,87.47805619239807,87.573,106.772,19.294,
30,green,carding_finished_1,drawing_waiting_0,6,96.57887983322144,96.586,109.086,12.507,
29,empty,storage_empty_slot_1,carding_waiting_1,4,96.57829332351685,96.6,114.803,18.224,
28,yellow,drawing_finished_0,roving_waiting_0,7,94.07822942733765,94.1,117.801,23.723,
