task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.123368740081787,2.183,20.283,18.159,
2,empty,storage_empty_slot_1,carding_waiting_1,1,2.1240179538726807,2.15,24.252,22.128,
4,empty,storage_empty_slot_3,carding_waiting_3,2,2.125239372253418,2.171,30.07,27.944,
3,empty,storage_empty_slot_2,carding_waiting_2,3,4.123250722885132,4.152,31.05,26.927,
6,empty,storage_empty_slot_1,carding_waiting_1,1,24.32243323326111,24.351,37.95,13.628,
7,green,carding_finished_0,drawing_waiting_0,5,26.423351526260376,26.501,43.299,16.876,
5,empty,storage_empty_slot_0,carding_waiting_0,4,20.323610305786133,20.35,44.849,24.526,
8,empty,storage_empty_slot_3,carding_waiting_3,0,30.124570846557617,30.183,52.382,22.258,
9,green,carding_finished_1,drawing_waiting_1,6,32.123417377471924,32.172,55.47,23.347,
13,empty,storage_empty_slot_0,carding_waiting_0,4,44.92287588119507,44.949,57.848,12.925,
14,yellow,drawing_finished_0,roving_waiting_0,7,50.92271137237549,50.948,63.548,12.625,
15,empty,storage_empty_slot_3,carding_waiting_3,0,52.42185616493225,52.483,64.982,12.56,
12,green,carding_finished_3,drawing_waiting_0,5,43.3243134021759,43.399,68.199,24.875,
17,empty,storage_empty_slot_0,carding_waiting_0,4,57.923219203948975,57.95,70.849,12.926,
16,green,carding_finished_1,drawing_waiting_1,6,55.52462339401245,55.571,73.971,18.446,
19,empty,storage_empty_slot_3,carding_waiting_3,0,68.22288036346436,68.284,80.883,12.66,
18,yellow,drawing_finished_1,roving_waiting_1,1,63.123671531677246,63.151,87.55,24.426,
21,red,roving_finished_0,storage_red_slot_0,5,72.62417984008789,72.7,93.999,21.375,
22,yellow,drawing_finished_0,roving_waiting_0,6,75.82364058494568,75.872,96.172,20.348,
20,green,carding_finished_3,drawing_waiting_0,7,68.2237536907196,68.25,97.848,29.625,
23,yellow,drawing_finished_1,roving_waiting_1,0,87.62386965751648,87.683,110.883,23.259,
28,yellow,drawing_finished_0,roving_waiting_0,6,105.52394390106201,105.571,115.372,9.849,
24,red,roving_finished_1,storage_red_slot_0,1,96.72320580482483,96.751,115.751,19.028,
