run_label,policy,num_robots,wall_s,makespan_s,completed,throughput_per_min,latency_mean_s,latency_p50_s,latency_p95_s,utilisation_mean,distance_total_m,traffic_rejected,traffic_expired,min_robot_distance_m,near_miss_events,charging_events,reassignments
random_s1,random,8,119.4,113.739,24,12.057,20.693,20.34,28.843,0.679,329.8,0,0,0.33,7,0,0
random_s2,random,8,119.3,96.366,15,7.544,20.634,18.152,31.059,0.567,203.2,0,0,0.307,8,0,0
random_s3,random,8,119.3,94.601,24,12.073,17.707,16.315,25.293,0.696,337.48,0,0,0.296,5,0,0
nearest_s1,nearest,8,118.9,115.963,34,17.157,17.334,16.005,26.063,0.688,386.55,0,0,0.301,3,0,0
nearest_s2,nearest,8,118.9,118.6,27,13.624,18.954,17.437,30.333,0.697,319.33,0,0,0.289,8,0,0
nearest_s3,nearest,8,118.8,54.499,12,6.062,17.43,12.751,28.659,0.399,147.22,0,0,0.335,2,0,0
ssi_s1,ssi,8,118.7,114.805,36,18.19,17.485,15.376,28.309,0.742,409.57,0,0,0.332,3,0,0
ssi_s2,ssi,8,118.8,116.68,31,15.66,19.048,18.422,26.691,0.749,434.77,0,0,0.305,12,0,0
ssi_s3,ssi,8,118.9,113.601,23,11.606,19.597,20.348,26.927,0.707,317.87,0,0,0.273,4,0,0
ca_ssi_s1,ca_ssi,8,118.7,117.514,36,18.19,17.199,16.305,25.925,0.699,394.59,0,0,0.339,3,0,0
ca_ssi_s2,ca_ssi,8,118.9,118.061,34,17.156,18.096,18.079,29.648,0.747,396.72,0,0,0.28,6,0,0
ca_ssi_s3,ca_ssi,8,118.8,115.669,41,20.708,16.097,12.983,28.166,0.739,406.68,0,0,0.679,0,0,0
hungarian_s1,hungarian,8,119.0,109.754,25,12.606,19.424,18.275,28.433,0.657,303.57,0,0,0.31,5,0,0
hungarian_s2,hungarian,8,118.9,116.832,34,17.152,19.005,19.045,26.728,0.699,400.53,0,0,0.288,8,0,0
